5
100
Id, Age, Math, Science, Malay
String, number, number, number, number
11920100, 19, 93, 92, 87
11920111, 20, 76, 87, 75
1221302345, 19, 20, 02, 20
1221302345, 19, 20, 02, 20
1221302345, 19, 20, 02, 20
1221302345, 19, 20, 02, 20
1221302345, 19, 20, 02, 20
1221302345, 19, 20, 02, 20
1221302345, 19, 20, 02, 20
1221302345, 19, 20, 02, 20
1221302345, 19, 20, 02, 20
1221302345, 19, 20, 02, 20
1221302345, 19, 20, 02, 20
1221302345, 19, 20, 02, 20
1221302345, 19, 20, 02, 20
1221302345, 19, 20, 02, 20
1221302345, 19, 20, 02, 20
1221302345, 19, 20, 02, 20
1221302345, 19, 20, 02, 20
1221302345, 19, 20, 02, 20
1221302345, 19, 20, 02, 20
11920100, 19, 93, 92, 87
11920111, 20, 76, 87, 75
1221302345, 19, 20, 02, 20
1221302345, 19, 20, 02, 20
1221302345, 19, 20, 02, 20
1221302345, 19, 20, 02, 20
1221302345, 19, 20, 02, 20
1221302345, 19, 20, 02, 20
1221302345, 19, 20, 02, 20
1221302345, 19, 20, 02, 20
1221302345, 19, 20, 02, 20
1221302345, 19, 20, 02, 20
1221302345, 19, 20, 02, 20
1221302345, 19, 20, 02, 20
1221302345, 19, 20, 02, 20
1221302345, 19, 20, 02, 20
1221302345, 19, 20, 02, 20
1221302345, 19, 20, 02, 20
1221302345, 19, 20, 02, 20
1221302345, 19, 20, 02, 20
1221302345, 19, 20, 02, 20
11920100, 19, 93, 92, 87
11920111, 20, 76, 87, 75
1221302345, 19, 20, 02, 20
1221302345, 19, 20, 02, 20
1221302345, 19, 20, 02, 20
1221302345, 19, 20, 02, 20
1221302345, 19, 20, 02, 20
1221302345, 19, 20, 02, 20
1221302345, 19, 20, 02, 20
1221302345, 19, 20, 02, 20
1221302345, 19, 20, 02, 20
1221302345, 19, 20, 02, 20
1221302345, 19, 20, 02, 20
1221302345, 19, 20, 02, 20
1221302345, 19, 20, 02, 20
1221302345, 19, 20, 02, 20
1221302345, 19, 20, 02, 20
1221302345, 19, 20, 02, 20
1221302345, 19, 20, 02, 20
1221302345, 19, 20, 02, 20
1221302345, 19, 20, 02, 20
11920100, 19, 93, 92, 87
11920111, 20, 76, 87, 75
1221302345, 19, 20, 02, 20
1221302345, 19, 20, 02, 20
1221302345, 19, 20, 02, 20
1221302345, 19, 20, 02, 20
1221302345, 19, 20, 02, 20
1221302345, 19, 20, 02, 20
1221302345, 19, 20, 02, 20
1221302345, 19, 20, 02, 20
1221302345, 19, 20, 02, 20
1221302345, 19, 20, 02, 20
1221302345, 19, 20, 02, 20
1221302345, 19, 20, 02, 20
1221302345, 19, 20, 02, 20
1221302345, 19, 20, 02, 20
1221302345, 19, 20, 02, 20
1221302345, 19, 20, 02, 20
1221302345, 19, 20, 02, 20
1221302345, 19, 20, 02, 20
1221302345, 19, 20, 02, 20
11920100, 19, 93, 92, 87
11920111, 20, 76, 87, 75
1221302345, 19, 20, 02, 20
1221302345, 19, 20, 02, 20
1221302345, 19, 20, 02, 20
1221302345, 19, 20, 02, 20
1221302345, 19, 20, 02, 20
1221302345, 19, 20, 02, 20
1221302345, 19, 20, 02, 20
1221302345, 19, 20, 02, 20
1221302345, 19, 20, 02, 20
1221302345, 19, 20, 02, 20
1221302345, 19, 20, 02, 20
1221302345, 19, 20, 02, 20
1221302345, 19, 20, 02, 20
9, 19, 20, 02, 10
